id,title,category,activity_key,lat,lng,duration,format,zone,distance,image,vivanote,shortDescription,includes,requirements,idealFor,effortLevel,weatherNote,clothingNote,importantToKnow,needsPhone,needsPeopleCount,extraAllowed,maxExtraPeople,extraRequiresApproval,extraNote,city,ambiance,environment,durationType,engagement,calma_tipo,participacion_tipo,sacudida_tipo,resolucion
Fly Colombia City Tour,Sobrevuelo panorámico de la ciudad en avión,aventura,flight_plane,4.688966068,-74.13300956,60,solo,Bogotá,Cercana,https://images.pexels.com/photos/18943828/pexels-photo-18943828.jpeg,Elegimos este sobrevuelo por la perspectiva aérea de la ciudad. Representa el recorrido urbano visto desde el aire.,Sobrevuelo panorámico de la ciudad en avión con acompañamiento para observar entorno urbano desde el aire.,Vuelo panorámico,Acompañamiento,Mayores de 12 años,Buena movilidad,paisaje,experiencia aérea,contemplación,alto,La realización depende de condiciones climáticas y puede ajustarse según indicación del operador.,Ropa cómoda,Calzado cerrado,Seguir indicaciones del instructor,Puntualidad requerida,Bogotá,relax,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Club De Golf La Cima,Sesión de golf en campo de montaña,aventura,golf,4.696868871,-73.97728791,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Elegimos este campo por su trazado en entorno de montaña. Es un plan donde el paisaje y el juego se desarrollan de forma integrada.,Disfruta una sesión de golf en campo de montaña donde el juego se integra con el paisaje natural.,Acceso al campo,Sesión de juego,Mayores de 8 años,naturaleza,deporte,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Llegar puntual,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Campo de Golf Club Los Lagartos,Sesión de golf en campo profesional arbolado,aventura,golf,4.70220984,-74.08269094,60,solo,Bogotá,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Incluimos este campo por su diseño profesional y el entorno arbolado. Representa el juego en un contexto clásico de club.,Sesión de golf en campo profesional rodeado de entorno arbolado para trabajar precisión y juego.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,concentración,naturaleza,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual de juego,Llegar puntual,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Country Club de Bogotá,Sesión de golf en campo tradicional de club,aventura,golf,4.708775266,-74.04266122,60,solo,Bogotá,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Valoramos este campo por su tradición y estructura de juego. Es una experiencia que refleja el golf en su formato más tradicional.,Disfruta una sesión de golf en campo tradicional de club con enfoque en técnica y recorrido.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,tradición,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
San Andrés Golf Club,Sesión de golf en campo costero natural,aventura,golf,4.735526941,-74.21496629,60,solo,Cundi Occidente,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Valoramos este campo por su carácter costero y entorno abierto. Representa una versión distinta del juego en relación con el paisaje.,Sesión de golf en campo natural abierto donde el juego se integra con el paisaje.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Carmel Club Campestre,Sesión de golf en campo campestre natural,aventura,golf,4.740943207,-74.05053494,60,solo,Bogotá,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Incluimos este campo por su entorno natural amplio. Es un plan de golf en contexto campestre tradicional.,Sesión de golf en campo campestre natural donde el juego se desarrolla en entorno abierto.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual de juego,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Pueblo Viejo Country Club,Sesión de golf en campo clásico arbolado,aventura,golf,4.799831966,-74.09494591,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Elegimos este campo por su trazado clásico y entorno arbolado. Representa el juego en un contexto tradicional de club.,Sesión de golf en campo clásico arbolado con enfoque en técnica y recorrido.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,tradición,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Llegar puntual,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Club Campestre Guaymaral,Sesión de golf en campo campestre amplio,aventura,golf,4.826364844,-74.04560181,60,solo,Bogotá,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Elegimos este campo por su amplitud y entorno campestre. Es un plan de golf en paisaje abierto.,Sesión de golf en campo campestre amplio donde el juego se integra con el paisaje abierto.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Llegar puntual,TRUE,Bogotá,adrenalina,indoor,media,relajado,ambiental,(vide),(vide),entorno
Golf san jacinto,Sesión de golf en campo abierto natural,aventura,golf,4.84193132,-74.03697994,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Valoramos este campo por su entorno natural abierto. Es un plan de juego en paisaje despejado.,Sesión de golf en campo abierto natural para disfrutar el juego en entorno despejado.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
Club El Rincón de Cajicá,Sesión de golf en campo natural ondulado,aventura,golf,4.895434865,-74.01728641,60,solo,Cundi Norte,Cercana,https://images.pexels.com/photos/9207654/pexels-photo-9207654.jpeg,Elegimos este campo por su trazado ondulado y entorno natural. Representa el juego con variación de terreno.,Sesión de golf en campo natural ondulado donde el recorrido integra variaciones de terreno.,Acceso al campo,Sesión de juego,Mayores de 8 años,deporte,naturaleza,concentración,suave,Depende de condiciones climáticas.,Ropa cómoda,Calzado deportivo,Ritmo individual de juego,Puntualidad requerida,TRUE,Bogotá,adrenalina,outdoor,media,relajado,ambiental,(vide),(vide),entorno
